domain_1,domain_2,year,cosine_similarity
eess,nucl-ex,2019,0.033763
eess,nucl-ex,2020,0.020428
eess,nucl-ex,2021,0.02653
eess,nucl-ex,2022,0.03147
eess,nucl-ex,2023,0.037136
eess,nucl-ex,2024,0.041972
eess,nucl-ex,2025,0.067973
eess,nucl-ex,2026,0.07361
eess,nucl-th,2019,0.041174
eess,nucl-th,2020,0.03595
eess,nucl-th,2021,0.042315
eess,nucl-th,2022,0.058179
eess,nucl-th,2023,0.066184
eess,nucl-th,2024,0.080017
eess,nucl-th,2025,0.104725
eess,nucl-th,2026,0.130752
eess,physics,2019,0.26028
eess,physics,2020,0.269885
eess,physics,2021,0.286856
eess,physics,2022,0.304027
eess,physics,2023,0.332481
eess,physics,2024,0.367213
eess,physics,2025,0.439627
eess,physics,2026,0.467944
eess,q-bio,2019,0.452061
eess,q-bio,2020,0.453173
eess,q-bio,2021,0.503464
eess,q-bio,2022,0.544364
eess,q-bio,2023,0.579747
eess,q-bio,2024,0.59544
eess,q-bio,2025,0.62396
eess,q-bio,2026,0.599996
eess,q-fin,2019,0.256468
eess,q-fin,2020,0.297718
eess,q-fin,2021,0.312939
eess,q-fin,2022,0.324318
eess,q-fin,2023,0.33852
eess,q-fin,2024,0.349151
eess,q-fin,2025,0.402855
eess,q-fin,2026,0.425477
eess,quant-ph,2019,0.242832
eess,quant-ph,2020,0.234305
eess,quant-ph,2021,0.248268
eess,quant-ph,2022,0.255271
eess,quant-ph,2023,0.27566
eess,quant-ph,2024,0.293542
eess,quant-ph,2025,0.346264
eess,quant-ph,2026,0.377737
eess,stat,2019,0.644749
eess,stat,2020,0.643324
eess,stat,2021,0.642436
eess,stat,2022,0.648646
eess,stat,2023,0.661804
eess,stat,2024,0.652074
eess,stat,2025,0.665843
eess,stat,2026,0.662246
gr-qc,hep-ex,2019,0.389827
gr-qc,hep-ex,2020,0.382575
gr-qc,hep-ex,2021,0.400476
gr-qc,hep-ex,2022,0.405974
gr-qc,hep-ex,2023,0.411735
gr-qc,hep-ex,2024,0.413129
gr-qc,hep-ex,2025,0.431643
gr-qc,hep-ex,2026,0.429575
gr-qc,hep-lat,2019,0.461345
gr-qc,hep-lat,2020,0.465622
gr-qc,hep-lat,2021,0.468371
gr-qc,hep-lat,2022,0.470468
gr-qc,hep-lat,2023,0.481466
gr-qc,hep-lat,2024,0.46547
gr-qc,hep-lat,2025,0.478252
gr-qc,hep-lat,2026,0.489711
gr-qc,hep-ph,2019,0.594822
gr-qc,hep-ph,2020,0.594362
gr-qc,hep-ph,2021,0.597456
gr-qc,hep-ph,2022,0.602261
gr-qc,hep-ph,2023,0.61042
gr-qc,hep-ph,2024,0.616489
gr-qc,hep-ph,2025,0.638611
gr-qc,hep-ph,2026,0.637028
gr-qc,hep-th,2019,0.808569
gr-qc,hep-th,2020,0.804047
gr-qc,hep-th,2021,0.802218
gr-qc,hep-th,2022,0.80002
gr-qc,hep-th,2023,0.794712
gr-qc,hep-th,2024,0.787887
gr-qc,hep-th,2025,0.782284
gr-qc,hep-th,2026,0.7861
gr-qc,math,2019,0.454519
gr-qc,math,2020,0.446954
gr-qc,math,2021,0.442101
gr-qc,math,2022,0.439134
gr-qc,math,2023,0.433299
gr-qc,math,2024,0.427873
gr-qc,math,2025,0.421053
gr-qc,math,2026,0.43574
gr-qc,math-ph,2019,0.582965
gr-qc,math-ph,2020,0.572146
gr-qc,math-ph,2021,0.569668
gr-qc,math-ph,2022,0.550896
gr-qc,math-ph,2023,0.560593
gr-qc,math-ph,2024,0.554089
gr-qc,math-ph,2025,0.549729
gr-qc,math-ph,2026,0.563645
gr-qc,nlin,2019,0.444446
gr-qc,nlin,2020,0.422021
gr-qc,nlin,2021,0.430117
gr-qc,nlin,2022,0.43126
gr-qc,nlin,2023,0.41964
gr-qc,nlin,2024,0.410952
gr-qc,nlin,2025,0.434674
gr-qc,nlin,2026,0.421246
gr-qc,nucl-ex,2019,0.36248
gr-qc,nucl-ex,2020,0.355663
gr-qc,nucl-ex,2021,0.366918
gr-qc,nucl-ex,2022,0.371903
gr-qc,nucl-ex,2023,0.369292
gr-qc,nucl-ex,2024,0.367237
gr-qc,nucl-ex,2025,0.391402
gr-qc,nucl-ex,2026,0.393917
gr-qc,nucl-th,2019,0.502294
gr-qc,nucl-th,2020,0.481664
gr-qc,nucl-th,2021,0.5022
gr-qc,nucl-th,2022,0.505476
gr-qc,nucl-th,2023,0.505795
gr-qc,nucl-th,2024,0.496596
gr-qc,nucl-th,2025,0.517436
gr-qc,nucl-th,2026,0.527271
gr-qc,physics,2019,0.418038
gr-qc,physics,2020,0.396823
gr-qc,physics,2021,0.410599
gr-qc,physics,2022,0.415131
gr-qc,physics,2023,0.408774
gr-qc,physics,2024,0.406919
gr-qc,physics,2025,0.427703
gr-qc,physics,2026,0.453582
gr-qc,q-bio,2019,0.141579
gr-qc,q-bio,2020,0.136381
gr-qc,q-bio,2021,0.146248
gr-qc,q-bio,2022,0.156255
gr-qc,q-bio,2023,0.163473
gr-qc,q-bio,2024,0.158966
gr-qc,q-bio,2025,0.187457
gr-qc,q-bio,2026,0.206662
gr-qc,q-fin,2019,0.215729
gr-qc,q-fin,2020,0.214134
gr-qc,q-fin,2021,0.221808
gr-qc,q-fin,2022,0.21432
gr-qc,q-fin,2023,0.208835
gr-qc,q-fin,2024,0.210756
gr-qc,q-fin,2025,0.235543
gr-qc,q-fin,2026,0.251837
gr-qc,quant-ph,2019,0.357635
gr-qc,quant-ph,2020,0.33491
gr-qc,quant-ph,2021,0.342767
gr-qc,quant-ph,2022,0.339136
gr-qc,quant-ph,2023,0.334489
gr-qc,quant-ph,2024,0.323267
gr-qc,quant-ph,2025,0.340967
gr-qc,quant-ph,2026,0.367935
gr-qc,stat,2019,0.19404
gr-qc,stat,2020,0.183343
gr-qc,stat,2021,0.200189
gr-qc,stat,2022,0.206636
gr-qc,stat,2023,0.211523
gr-qc,stat,2024,0.215492
gr-qc,stat,2025,0.242165
gr-qc,stat,2026,0.258839
hep-ex,hep-lat,2019,0.696845
hep-ex,hep-lat,2020,0.652571
hep-ex,hep-lat,2021,0.656819
hep-ex,hep-lat,2022,0.645048
hep-ex,hep-lat,2023,0.643581
hep-ex,hep-lat,2024,0.642937
hep-ex,hep-lat,2025,0.625751
